module_group,avg_total_l2,avg_ratio,ratio_std,avg_ma_total,avg_std_total,avg_sparsity,avg_heavy_tail,stability_ratio,recommended_bits,rationale
image_encoder.neck.convs.0,0.0037738035570446696,0.0005871557736196074,0.0002164385557967478,0.0037982555995631218,0.0013608139219389733,0.952403987637601,21450.075120620237,0.3582733932112139,32,Extreme gradient-to-weight scaling
image_encoder.neck.convs.1,0.008845835019715394,0.0009270325557938999,0.00035630190511635524,0.008874798110804221,0.0034593326117846436,0.9526550242226786,18315.19271612196,0.38979282329512777,32,Extreme gradient-to-weight scaling
image_encoder.neck.convs.2,0.0006055601157917724,0.00011743824513373762,7.384862846590759e-05,0.0006072446624489548,0.00036113211479670313,0.9521069159221135,22732.96776835281,0.5947061162140063,32,Extreme gradient-to-weight scaling
image_encoder.neck.convs.3,0.001270052170505788,0.00035628373709153217,0.0002964329687612504,0.0012677839063541506,0.0009214870953624555,0.9745793817580616,12596.832459018542,0.726848708793312,32,Extreme gradient-to-weight scaling
image_encoder.trunk.blocks.0,0.045422450034730784,0.0012135996594823532,0.0002573689622167095,0.045584052290254064,0.010669110829108715,0.9555637462376186,86892.05014090438,0.23405358438020626,32,Extreme gradient-to-weight scaling
image_encoder.trunk.blocks.1,0.04546774659353975,0.0007161713687468821,0.00022712591733066686,0.04553956999836221,0.013471771842999754,0.967872163287903,301755.3122561356,0.29582562688853353,32,Extreme gradient-to-weight scaling
image_encoder.trunk.blocks.10,0.019047509321541402,0.00014218760786955975,4.382737938017249e-05,0.019100264448150907,0.0058673059467245214,0.9591296552677313,56595.523270797756,0.30718453991313893,32,Extreme gradient-to-weight scaling
image_encoder.trunk.blocks.11,0.016569581978877108,0.0001301451650321971,4.1024796695282e-05,0.016626193430569536,0.005254099911790722,0.9586101754524196,35240.003148568605,0.3160133998038504,32,Extreme gradient-to-weight scaling
image_encoder.trunk.blocks.12,0.0150536459342398,0.0001170464261749785,3.840197987503417e-05,0.01511788351851033,0.004978787476578334,0.9576831132695373,29052.49742248957,0.3293309854175228,32,Extreme gradient-to-weight scaling
image_encoder.trunk.blocks.13,0.015834572808557823,0.00011072353516863951,3.840158973974295e-05,0.015922830289905227,0.0054729790946844645,0.9606287722953397,32107.392383670227,0.34371898682825436,32,Extreme gradient-to-weight scaling
image_encoder.trunk.blocks.14,0.010213189066232446,6.88511506162839e-05,2.560567137899519e-05,0.010285287977263923,0.003861234038448342,0.9672567536161042,180177.9890355866,0.37541331336407574,32,Extreme gradient-to-weight scaling
image_encoder.trunk.blocks.15,0.004282175443692089,2.641593039717279e-05,9.989311008792893e-06,0.0043139706865123004,0.0016182673029166528,0.9692619085787907,289286.4959329753,0.3751224615355389,32,Extreme gradient-to-weight scaling
image_encoder.trunk.blocks.2,0.019641872922450246,0.00023162282402176623,6.752905675987703e-05,0.01967509066809279,0.005706483126012139,0.9571077769525419,118228.64090631534,0.29003592523547433,32,Extreme gradient-to-weight scaling
