step,total_l2_norm,mean_l2_norm,median_l2_norm,active_parameters,ratio_mean,ratio_rms_mean
100,0.6563843521990123,0.0012720626980601013,0.0003709486627485603,516,0.000488612102391956,0.000488612102391956
200,0.8066295415425664,0.0015632355456251287,0.00043216814810875803,516,0.0008118234335172674,0.0008118234335172674
300,0.8523344961386741,0.001651811039028438,0.00044413210707716644,516,0.0007370475891311613,0.0007370475891311613
400,0.4533624693449845,0.0008803154744562806,0.00013730546925216913,515,0.0004140253176773765,0.0004140253176773765
500,0.6493660349063788,0.0012609049221483084,0.0002994082460645586,515,0.0009041296426383459,0.0009041296426383459
600,0.47924970452091287,0.0009287784971335521,0.00018219002959085628,516,0.00035948501540106616,0.00035948501540106616
700,0.43433147084201984,0.0008417276566705811,0.00018983316113008186,516,0.00039348854477482963,0.00039348854477482963
800,0.5182584362869527,0.0010063270607513644,0.00022201814863365144,515,0.0005856796480758602,0.0005856796480758602
900,0.7649916699707617,0.0014825419960673677,0.0003932850668206811,516,0.0004879318154526259,0.0004879318154526259
1000,0.8706871694258496,0.001690654697914271,0.00045737906475551426,515,0.0014847020154562791,0.0014847020154562791
1100,0.5941849719207717,0.0011537572270306246,0.00021255675528664142,515,0.0004528912684587033,0.0004528912684587033
1200,0.7717246558403517,0.0014955904182952552,0.00037102137866895646,516,0.000527536915122277,0.000527536915122277
1300,0.8466240813820818,0.0016407443437637245,0.0004275823157513514,516,0.0007120233807177286,0.0007120233807177286
1400,0.6784864789291234,0.001314896276994425,0.00027867135941050947,516,0.00047526824383624925,0.00047526824383624925
1500,0.9107956030129927,0.0017651077577771177,0.00044936600897926837,516,0.0006501829122606529,0.0006501829122606529
1600,0.6553125950401082,0.001272451640854579,0.0001559783413540572,515,0.0009007083242890349,0.0009007083242890349
1700,0.7139935663088508,0.0013863952743861181,0.00036042233114130795,515,0.0008036013793199069,0.0008036013793199069
1800,0.67890178225678,0.0013157011284046123,0.00032797647872939706,516,0.0005051055989845255,0.0005051055989845255
1900,0.7522474006457642,0.0014578437997010934,0.00041318926378153265,516,0.0006288348733998191,0.0006288348733998191
2000,0.45837821203277507,0.0008900547806461652,0.00019020828767679632,515,0.000550221137678844,0.000550221137678844
2100,0.6373091814800134,0.0012374935562718707,0.00024072382075246423,515,0.0005602581319621161,0.0005602581319621161
2200,0.6661097908099585,0.0012909104473061211,0.0003360357804922387,516,0.0004929968166316407,0.0004929968166316407
2300,0.6079475472408724,0.001180480674254121,0.00019915624579880387,515,0.0004442146082539875,0.0004442146082539875
2400,0.6735611910225359,0.0013078858078107492,0.00029413888114504516,515,0.0007941219850515741,0.0007941219850515741
2500,0.7695066698947901,0.001491291995920136,0.0004288823838578537,516,0.0008034779470777528,0.0008034779470777528
2600,0.6679444159085293,0.0012944659223033514,0.00030168818193487823,516,0.0004344911507022047,0.0004344911507022047
2700,0.646025350230655,0.0012544181557876796,0.0002769911370705813,515,0.0008792313738741673,0.0008792313738741673
2800,0.7406119474274897,0.001435294471758701,0.0004171414620941505,516,0.000881930866973195,0.000881930866973195
2900,0.5796120144405013,0.0011232790977529093,0.0002507025492377579,516,0.00038890136284186987,0.00038890136284186987
3000,0.7296244884440028,0.001416746579502918,0.0003313108463771641,515,0.0007544884142695252,0.0007544884142695252
3100,0.41938575891918184,0.0008143412794547221,0.00014382931112777442,515,0.000302559247702705,0.000302559247702705
3200,0.7458474006888416,0.001445440699009383,0.00036089551576878875,516,0.0005735271526644889,0.0005735271526644889
3300,0.7729095222922844,0.0014978866711090782,0.00035629521880764514,516,0.0005234072765402706,0.0005234072765402706
3400,0.3927869057747735,0.0007626930209218902,8.940339466789737e-05,515,0.0002989083172561859,0.0002989083172561859
3500,0.6568348290808625,0.001275407435108471,0.0002953234361484647,515,0.0009476398046138746,0.0009476398046138746
3600,0.9617628039733299,0.001863881403049089,0.0005488000751938671,516,0.0009169208676067836,0.0009169208676067836
3700,0.7682849919410675,0.0014889244029865649,0.0003743087872862816,516,0.0006467999836791692,0.0006467999836791692
3800,0.5035837613184029,0.000977832546249326,0.00020041604875586927,515,0.0005577667076875533,0.0005577667076875533
3900,0.6342877655531467,0.0012292398557231525,0.0002762574586085975,516,0.000372184611974002,0.000372184611974002
4000,0.5224437355811773,0.0010144538554974316,0.0001333115214947611,515,0.0006925829944070766,0.0006925829944070766
4100,0.465633814577334,0.000902391113521965,0.00015391019405797124,516,0.0002654047260433632,0.00026540472604336324
4200,0.885055043560186,0.001718553482641138,0.00039901051786728203,515,0.0012043098797114547,0.0012043098797114547
4300,0.645663927617818,0.0012537163643064426,0.0002775045286398381,515,0.0008262084730539216,0.0008262084730539216
4400,0.7700203486142314,0.0014951851429402551,0.00027764245169237256,515,0.0005613797665464991,0.0005613797665464991
4500,0.6349626169026763,0.0012305477071757292,0.00030455684463959187,516,0.0005153883004318343,0.0005153883004318343
4600,0.6862535824790825,0.0013299488032540358,0.0003240576625103131,516,0.0008738095487392174,0.0008738095487392174
4700,0.831454328457994,0.0016144744241902798,0.0004063803644385189,515,0.0009947985609756454,0.0009947985609756454
4800,0.6978328420958348,0.001352389228867897,0.0003753880737349391,516,0.0006161048473520922,0.000616104847352092
4900,0.8514120330322079,0.0016500233198298603,0.00040823029121384025,516,0.0005806511334488108,0.0005806511334488108
5000,0.43425535436522367,0.0008415801441186505,0.00016851096006575972,516,0.0004999611743154928,0.0004999611743154926
5100,0.8121188224519607,0.0015738736869224043,0.0004259220731910318,516,0.000802982400445636,0.000802982400445636
5200,0.2706983823437801,0.0005256279268811264,7.825232023606077e-05,515,0.0002660689171132703,0.0002660689171132703
5300,0.39870837843130946,0.0007726906558746308,0.0001514812174718827,516,0.0002710980211142303,0.0002710980211142303
5400,0.5915126287759245,0.001146342303829311,0.0002629139489727095,516,0.0006221316717584549,0.0006221316717584549
5500,0.5969535652220799,0.0011591331363535531,0.0002058070822386071,515,0.0005912206823349281,0.0005912206823349281
5600,0.7465427012053212,0.0014495974780685849,0.00019641182734631002,515,0.0007793497998485012,0.0007793497998485012
5700,0.7076354625142507,0.0013713865552601758,0.00035061447124462575,516,0.0005509022425158024,0.0005509022425158025
5800,0.5468657514897437,0.0010618752456111528,0.0002543059817980975,515,0.0005300331736131094,0.0005300331736131094
5900,0.6470653074236168,0.0012540025337666992,0.00028370281506795436,516,0.0005607957997980906,0.0005607957997980906
6000,0.663991178713129,0.0012868046099091647,0.0003099729074165225,516,0.0005892417758606539,0.0005892417758606538
6100,0.7994677532191012,0.001549356110889731,0.00040110741974785924,516,0.0007790143714632429,0.0007790143714632429
6200,0.5577430226834252,0.0010808973307818318,0.00023363903164863586,516,0.0004747088566985083,0.00047470885669850837
6300,0.5082873965927917,0.0009869658186267799,0.00020120636327192187,515,0.0005366614111086132,0.0005366614111086132
6400,0.7940235455322622,0.0015388053207989578,0.00036905930028297007,516,0.0009458776652699848,0.0009458776652699848
6500,0.5981086370248221,0.0011613759942229556,0.0002657232398632914,515,0.0004781967879929618,0.0004781967879929618
6600,0.6785794303548869,0.0013176299618541493,0.0002114757662639022,515,0.0012816407831466768,0.0012816407831466768
6700,0.6719842887777823,0.0013022951332902757,0.0003574670117814094,516,0.0005891274305721216,0.0005891274305721216
6800,0.7177300322007198,0.0013936505479625629,0.0002820288354996592,515,0.0005983738491024233,0.0005983738491024233
6900,0.7612149007611988,0.0014752226758937962,0.00035239956923760474,516,0.0004952989884344826,0.0004952989884344826
7000,0.3703087566560903,0.0007190461294293016,0.0001280866126762703,515,0.00043986600494697926,0.00043986600494697926
7100,0.6581412955644339,0.0012779442632319105,0.00023655137920286506,515,0.00050036904857423,0.00050036904857423
7200,0.6122988295910154,0.001186625638742278,0.0002933022769866511,516,0.0006549860929946845,0.0006549860929946845
7300,0.6818411465573035,0.0013239633913734049,0.00025771232321858406,515,0.0008650784564675064,0.0008650784564675064
7400,0.8300596070278814,0.0016086426492788399,0.0003950316022383049,516,0.0007958013615224025,0.0007958013615224025
7500,0.4670949912787492,0.0009069805655898043,0.00022784009343013167,515,0.0005846151710242202,0.0005846151710242202
7600,0.7086313214950515,0.0013733165145252935,0.000375480143702589,516,0.0007496311022123755,0.0007496311022123755
7700,0.762608135629506,0.001477922743468035,0.000353591880411841,516,0.0005441684394147177,0.0005441684394147177
7800,0.5524408351748953,0.0010706217735947582,0.0002767567348200828,516,0.0004891385164830023,0.0004891385164830023
7900,0.7556419619569397,0.0014672659455474556,0.0002262329653603956,515,0.0015707908540478332,0.0015707908540478332
8000,0.7589468857799062,0.001470827298023074,0.0004482162476051599,516,0.0007975307392386747,0.0007975307392386747
8100,0.5484517903680839,0.0010628910666048137,0.00024891100474633276,516,0.0004372243791824592,0.00043722437918245914
8200,0.7326355501347415,0.0014198363374704293,0.0003507970104692504,516,0.0007542088185608814,0.0007542088185608814
8300,0.5784596874831802,0.0011210459059751556,0.00027515378315001726,516,0.00046468141506614773,0.0004646814150661477
8400,0.9298887261004971,0.001802109934303289,0.00046006431512068957,516,0.0006603371297519867,0.0006603371297519867
8500,0.494898773020104,0.0009591061492637674,0.00019742945733014494,516,0.00036374047064560456,0.00036374047064560456
8600,0.7770217368847625,0.0015058560792340359,0.0004220232513034716,516,0.0007364491756629125,0.0007364491756629125
8700,0.46759582751643336,0.0009079530631387056,0.00021006984752602875,515,0.0005453371491499438,0.0005453371491499438
8800,0.4197421236392387,0.0008150332497849294,0.00012090475502191111,515,0.0003556853708702156,0.0003556853708702156
8900,0.9090410013043666,0.0017617073668689275,0.0005146733892615885,516,0.0008961769594516973,0.0008961769594516974
9000,0.459642944438837,0.0008925105717258971,0.0001506284170318395,515,0.0005698294581701294,0.0005698294581701294
9100,0.653859445806436,0.001267169468617124,0.0003457960847299546,516,0.0006046848593116894,0.0006046848593116894
9200,0.8808740924572795,0.001707120334219534,0.0005582281737588346,516,0.0008074651552136021,0.0008074651552136021
9300,0.4217000012604668,0.000817248064458269,0.00019417204021010548,516,0.0003310157258979951,0.000331015725897995
9400,0.9031938788509137,0.0017537745220406091,0.00048700766637921333,515,0.0015255175005976416,0.0015255175005976416
9500,0.9188061673965819,0.001780632107357717,0.0004993983602616936,516,0.0007950852902151649,0.0007950852902151649
9600,0.728768256737041,0.001412341582823723,0.00038565909198950976,516,0.0006027910702671348,0.0006027910702671348
9700,0.44075381884392506,0.0008541740675269866,0.0001944149989867583,516,0.00036735639111788905,0.000367356391117889
9800,0.678011185945465,0.0013139751665609785,0.00031673639023210853,516,0.0005071594048259013,0.0005071594048259014
9900,0.6826143904081938,0.0013228961054422362,0.0002997601841343567,516,0.00045663049481582647,0.00045663049481582647
10000,0.8314951461283537,0.0016145536818026286,0.00031480760662816465,515,0.0007582639358504742,0.0007582639358504742
10100,0.6762346505678707,0.0013130769913939236,0.00031906957156024873,515,0.0005996765250997337,0.0005996765250997337
10200,0.7695162302938385,0.0014913105238252686,0.0004556282510748133,516,0.0008316341064219698,0.0008316341064219698
10300,0.797195647670371,0.0015449528055627344,0.0003482845349935815,516,0.0006728385288218248,0.0006728385288218248
10400,0.5731586274441298,0.001112929373677922,0.00020827952539548278,515,0.0007578769718105143,0.0007578769718105143
10500,0.49873165014685683,0.0009665342057109628,0.0002401611054665409,516,0.00040710674212686676,0.00040710674212686676
10600,0.7799236053096994,0.0015144147675916493,0.00042332883458584547,515,0.000975305840027938,0.000975305840027938
10700,0.6920846251749904,0.0013438536411164862,0.0003286234277766198,515,0.0005339051199472996,0.0005339051199472996
10800,0.8207295468416156,0.0015905611372899527,0.0003825432213488966,516,0.0006191774950758812,0.0006191774950758812
10900,0.9254366335130477,0.0017934818478935034,0.0005198609724175185,516,0.0006993224420855611,0.0006993224420855611
11000,0.47477687029040494,0.0009201102137410948,0.0001847583262133412,516,0.0003520894285432239,0.0003520894285432239
11100,0.45181438746729086,0.0008756092780373854,0.00018574593559606,516,0.00034922364613913017,0.0003492236461391302
11200,0.5928158452922538,0.001151098728722823,0.0002776271430775523,515,0.00048011048520319214,0.00048011048520319214
11300,0.39805706855766587,0.0007729263467139144,0.00011371893924660981,515,0.0003754724774676343,0.0003754724774676343
11400,0.7491084942154913,0.0014517606477044405,0.00038532975304406136,516,0.0006118815439146465,0.0006118815439146465
11500,0.6890005244328989,0.0013378650959862115,0.00024242432846222073,515,0.000612427109963843,0.000612427109963843
11600,0.751543193485297,0.0014593071718161106,0.00037506213993765414,515,0.0011220658099599479,0.0011220658099599476
11700,0.8077865600833931,0.001565477829618979,0.00043431506492197514,516,0.000774414654395039,0.000774414654395039
11800,0.7607422018099541,0.0014743065926549497,0.00039296605973504484,516,0.0005813370330226225,0.0005813370330226225
11900,0.9145814905544682,0.0017758863894261519,0.0003559976757969707,515,0.0012884962468531899,0.0012884962468531899
12000,0.725195525689907,0.0014054176854455562,0.0004031437711091712,516,0.0005314162778104673,0.0005314162778104673
