module_group,avg_total_l2,avg_ratio,ratio_std,avg_ma_total,avg_std_total,avg_sparsity,avg_heavy_tail,stability_ratio,recommended_bits,rationale
image_encoder.neck.convs.0,0.004196030449510663,0.0006913276324198191,0.00020871638160987026,0.004190469449104515,0.0012212493016085888,0.9490250775172366,15753.591288528509,0.2914349612713593,32,Extreme gradient-to-weight scaling
image_encoder.neck.convs.1,0.009012054324715713,0.0010581235931245612,0.0003379870911857356,0.008985144141648867,0.0029785713030149917,0.9492651829784744,12713.820414545391,0.3314995570531151,32,Extreme gradient-to-weight scaling
image_encoder.neck.convs.2,0.0006289740860527514,0.0001322146496627281,7.237260823059171e-05,0.000627023600796396,0.0003182469637603623,0.9450261463396165,13790.654674377158,0.5075518104201342,32,Extreme gradient-to-weight scaling
image_encoder.neck.convs.3,0.0014933438249143996,0.0004759523517514445,0.0003568772332056812,0.001489446923969595,0.0010064000462357313,0.9698246998288395,11394.054532545366,0.6756870822583777,32,Extreme gradient-to-weight scaling
image_encoder.trunk.blocks.0,0.05061192905035885,0.001283247992436125,0.00021222678671097434,0.05069284018580066,0.008691213696696785,0.9562472787773529,36046.68118376756,0.17144854509712873,32,Extreme gradient-to-weight scaling
image_encoder.trunk.blocks.1,0.0527450605966252,0.0008936868498193082,0.00023197338268120474,0.05271987531210641,0.011934881114908038,0.9682910534587251,487291.515689888,0.22638295413736217,32,Extreme gradient-to-weight scaling
image_encoder.trunk.blocks.10,0.014320235029429015,0.00010930220281570092,3.226303514550514e-05,0.014268967012480673,0.0041984518861399416,0.9654522394811806,111836.57479890634,0.29423656824405514,32,Extreme gradient-to-weight scaling
image_encoder.trunk.blocks.11,0.0061230037761304075,3.9151216874837437e-05,1.2619919479058492e-05,0.0061057467145537656,0.0018906814895698382,0.9682852369405244,153091.61957321686,0.30965606304355475,32,Extreme gradient-to-weight scaling
image_encoder.trunk.blocks.2,0.024132374497204855,0.00031487940505075694,7.28192218194769e-05,0.024168237783372456,0.005392324814921526,0.9593124891925788,81971.81994687676,0.22311617682905288,32,Extreme gradient-to-weight scaling
image_encoder.trunk.blocks.3,0.052581536340490544,0.0005723246175910053,0.00012905898310214625,0.052588421557543376,0.011525789556551116,0.9636907309266948,249360.99302890614,0.21916971864119084,32,Extreme gradient-to-weight scaling
image_encoder.trunk.blocks.4,0.029800973521995056,0.00021886819965770085,5.221147612466264e-05,0.029775351553118855,0.00676879191968694,0.959298202166922,73738.16860242905,0.22732869862548893,32,Extreme gradient-to-weight scaling
image_encoder.trunk.blocks.5,0.028073316840045267,0.00022660480709677625,5.394276343576881e-05,0.028064540482315662,0.006380847124709421,0.9579448843392855,59847.96198628691,0.2273633209398241,32,Extreme gradient-to-weight scaling
image_encoder.trunk.blocks.6,0.02384943366587322,0.0001894691389215473,4.4623817881768404e-05,0.023821673367656032,0.005365084758565494,0.9585332099257542,84091.52674653007,0.22521863497003358,32,Extreme gradient-to-weight scaling
image_encoder.trunk.blocks.7,0.023920395012599172,0.00018201735166461445,4.312503776812703e-05,0.023874360754305168,0.005391775080636845,0.9584320360225523,68682.03370056319,0.22583955801474465,32,Extreme gradient-to-weight scaling
image_encoder.trunk.blocks.8,0.020260433467742783,0.00016844246170646726,4.143655457562916e-05,0.020246969324704107,0.004752255471499506,0.9571077068996862,35154.61552471807,0.2347144106007557,32,Extreme gradient-to-weight scaling
image_encoder.trunk.blocks.9,0.019594895845132312,0.00013980747468022727,3.678409516958021e-05,0.019597303054682193,0.004966220435981719,0.9624625083168309,48195.17486391901,0.2534134631752397,32,Extreme gradient-to-weight scaling
image_encoder.trunk.patch_embed.proj,0.08351097435756262,0.02065570859280185,0.002020319994370905,0.08349884654718769,0.008564425565067986,0.9429414587890923,6998.405801110047,0.10256938771277485,32,Extreme gradient-to-weight scaling
image_encoder.trunk.pos_embed,0.00525295368709561,0.003968021119875133,0.0009438152105128913,0.005226792683912168,0.0011637458635961693,0.9966826316378297,159362.39828286532,0.22265009040403047,32,Extreme gradient-to-weight scaling
image_encoder.trunk.pos_embed_window,0.005586194025059028,0.0033279258521511997,0.000722291350254096,0.005578277130436537,0.0011523909173593151,0.9863667244364909,100996.68341607609,0.20658545468663958,32,Extreme gradient-to-weight scaling
mask_downsample.bias,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2,Low-energy + moderate sparsity; Very stable & sparse layer
mask_downsample.weight,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2,Low-energy + moderate sparsity; Very stable & sparse layer
maskmem_tpos_enc,0.00013831331218576136,3.733636120328233e-05,2.757596813162107e-05,0.00014252179599227082,9.61867754885432e-05,0.9719621435858382,939.9378259596257,0.6748916881019347,32,Extreme gradient-to-weight scaling
memory_attention.layers.0.cross_attn_image,0.005811883180975648,0.0004445564574753331,0.00023814740983363287,0.005916040300874029,0.002990419017346637,0.951112604911094,77218.87880976613,0.5054764445916361,32,Extreme gradient-to-weight scaling
